delta t (sec),Ground Acceleration (in G)
5.87,.6065532E-02
5.88,.4456831E-02
5.89,.3492793E-02
5.9,.2198626E-02
5.91,-.1075695E-02
5.92,-.6548553E-02
5.93,-.1111717E-01
5.94,-.1188028E-01
5.95,-.8360769E-02
5.96,-.2632123E-02
5.97,.1228127E-02
5.98,.8130375E-03
5.99,-.2615630E-02
6,-.6232494E-02
6.01,-.7600994E-02
6.02,-.4901751E-02
6.03,-.1233612E-02
6.04,-.2085524E-03
6.05,-.1080388E-02
6.06,-.1395021E-02
6.07,-.1422189E-02
6.08,-.1804410E-02
6.09,-.1480609E-02
6.1,-.1159176E-03
6.11,.8555811E-03
6.12,.1608951E-03
6.13,-.1804533E-02
6.14,-.3134436E-02
6.15,-.3440335E-02
6.16,-.2664736E-02
6.17,-.1636620E-03
6.18,.2906217E-02
6.19,.4688687E-02
6.2,.4009055E-02
6.21,.8518715E-03
6.22,-.2713402E-02
6.23,-.4775602E-02
6.24,-.5059436E-02
6.25,-.4516775E-02
6.26,-.3677598E-02
6.27,-.1631167E-02
6.28,.2410298E-02
6.29,.6665512E-02
6.3,.8757513E-02
6.31,.7919962E-02
6.32,.5176819E-02
6.33,.2331876E-02
6.34,.4307056E-03
6.35,-.8341673E-03
6.36,-.2623008E-02
6.37,-.5816630E-02
6.38,-.9319939E-02
6.39,-.1126771E-01
6.4,-.1057631E-01
6.41,-.7710715E-02
6.42,-.2443797E-02
6.43,.5035504E-02
6.44,.1099906E-01
6.45,.1216823E-01
6.46,.9102406E-02
6.47,.4633142E-02
6.48,.1624441E-02
6.49,.5973180E-03
6.5,-.5507805E-05
6.51,-.2129611E-02
6.52,-.6254738E-02
6.53,-.1067776E-01
6.54,-.1146495E-01
6.55,-.7536955E-02
6.56,-.1632005E-02
6.57,.2482647E-02
6.58,.3466830E-02
6.59,.1969642E-02
6.6,-.6724862E-03
6.61,-.2502854E-02
6.62,-.2431310E-02
6.63,-.8777764E-03
6.64,.3619407E-03
6.65,.1337524E-03
6.66,-.2081376E-02
6.67,-.4638399E-02
6.68,-.5014617E-02
6.69,-.3222542E-02
6.7,-.2235931E-02
6.71,-.4284352E-02
6.72,-.7952552E-02
6.73,-.8931860E-02
6.74,-.6131375E-02
6.75,-.2734440E-02
6.76,-.5599685E-03
6.77,.8174503E-03
6.78,.1555842E-02
6.79,.1783074E-02
6.8,.2664294E-02
6.81,.4604326E-02
6.82,.5797518E-02
6.83,.4561274E-02
6.84,.2139032E-02
6.85,-.3105970E-03
6.86,-.1793296E-02
6.87,-.1554718E-02
6.88,-.6659941E-03
6.89,-.6182100E-03
6.9,-.1645908E-02
6.91,-.2839894E-02
6.92,-.1707131E-02
6.93,.5858624E-03
6.94,.1802505E-02
6.95,.1210131E-02
6.96,.4330395E-03
6.97,.1637225E-02
6.98,.4255960E-02
6.99,.6098278E-02
7,.5723739E-02
7.01,.4115049E-02
7.02,.3605238E-02
7.03,.4960483E-02
7.04,.6943074E-02
7.05,.6924665E-02
7.06,.4255183E-02
7.07,.7377437E-03
7.08,-.1216648E-02
7.09,-.1400274E-02
7.1,-.9702130E-03
7.11,-.7789945E-03
7.12,-.1095672E-02
7.13,-.1705669E-02
7.14,-.2089881E-02
7.15,-.1342109E-02
7.16,.4243142E-03
7.17,.1630166E-02
7.18,.8994915E-03
7.19,-.1537639E-02
7.2,-.4622558E-02
7.21,-.5594921E-02
7.22,-.3603754E-02
7.23,-.3717261E-03
7.24,.1091437E-02
7.25,-.1320089E-03
7.26,-.2204876E-02
7.27,-.4608732E-02
7.28,-.6078616E-02
7.29,-.5291953E-02
7.3,-.3707029E-02
7.31,-.3132280E-02
7.32,-.4580423E-02
7.33,-.6691761E-02
7.34,-.7016564E-02
7.35,-.5158468E-02
7.36,-.2334915E-02
7.37,.4850602E-04
7.38,.1434242E-02
7.39,.2158719E-02
7.4,.2773300E-02
7.41,.3381740E-02
7.42,.3322136E-02
7.43,.1589390E-02
7.44,-.1565991E-02
7.45,-.3723987E-02
7.46,-.3317995E-02
7.47,-.2048297E-02
7.48,-.1987889E-02
7.49,-.2611924E-02
7.5,-.1815403E-02
7.51,.8279364E-03
7.52,.3827487E-02
7.53,.5438727E-02
7.54,.5592953E-02
7.55,.5193329E-02
7.56,.4110324E-02
7.57,.2160114E-02
7.58,.3265246E-03
7.59,-.1829364E-03
7.6,.3076496E-03
7.61,.6325097E-03
7.62,.3814925E-03
7.63,.6685254E-03
7.64,.3173853E-02
7.65,.6496843E-02
7.66,.8563410E-02
7.67,.8091751E-02
7.68,.4985140E-02
7.69,.7770702E-03
7.7,-.2398986E-02
7.71,-.3077534E-02
7.72,-.2495762E-02
7.73,-.1591452E-02
7.74,.3581699E-03
7.75,.2030992E-02
7.76,.1880487E-02
7.77,.3469061E-03
7.78,-.1157295E-02
7.79,-.1768982E-02
7.8,-.1474198E-02
7.81,-.5730362E-03
7.82,.6693891E-03
7.83,.1980788E-02
7.84,.2502585E-02
7.85,.1488145E-02
7.86,-.6898062E-03
7.87,-.2436471E-02
7.88,-.2421728E-02
7.89,-.1234797E-02
7.9,-.1179866E-02
7.91,-.2634688E-02
7.92,-.4226720E-02
7.93,-.4650332E-02
7.94,-.3426791E-02
7.95,-.1441639E-02
7.96,-.2809123E-03
7.97,-.7912233E-03
7.98,-.1281159E-02
7.99,-.3185791E-03
8,.8688733E-03
8.01,.2592240E-03
8.02,-.2646621E-02
8.03,-.5304617E-02
8.04,-.4244126E-02
8.05,.2160226E-03
8.06,.4558748E-02
8.07,.4803020E-02
8.08,.5309625E-03
8.09,-.4332354E-02
8.1,-.5815664E-02
8.11,-.3322905E-02
8.12,-.1769761E-03
8.13,.9304334E-03
8.14,.4455464E-03
8.15,.7657062E-03
8.16,.2799086E-02
8.17,.4884531E-02
8.18,.5279947E-02
8.19,.3847810E-02
8.2,.1367921E-02
8.21,-.7807449E-03
8.22,-.6477874E-03
8.23,.1680310E-02
8.24,.4476645E-02
8.25,.6326722E-02
8.26,.6947574E-02
8.27,.6833779E-02
8.28,.6245491E-02
8.29,.4444206E-02
8.3,.1461151E-02
8.31,-.1326586E-02
8.32,-.2451170E-02
8.33,-.1313284E-02
8.34,.1232497E-02
8.35,.3566086E-02
8.36,.4853073E-02
8.37,.5250355E-02
8.38,.4780278E-02
8.39,.3393368E-02
8.4,.1810211E-02
8.41,.1162174E-02
8.42,.1897670E-02
8.43,.3423751E-02
8.44,.5028519E-02
8.45,.6447472E-02
8.46,.7227664E-02
8.47,.6095320E-02
8.48,.2786238E-02
8.49,-.1475862E-02
8.5,-.5080844E-02
8.51,-.5254191E-02
8.52,-.1456372E-02
8.53,.3046472E-02
8.54,.5028778E-02
8.55,.3917803E-02
8.56,.1156689E-02
8.57,-.1139186E-02
8.58,-.1491888E-02
8.59,-.6661848E-03
8.6,-.7837582E-03
8.61,-.2593586E-02
8.62,-.5217301E-02
8.63,-.6943766E-02
8.64,-.6193990E-02
8.65,-.3140340E-02
8.66,-.8222366E-05
8.67,.1194808E-02
8.68,.2483119E-03
8.69,-.4468213E-03
8.7,.3320520E-03
8.71,.6796740E-03
8.72,-.1024745E-02
8.73,-.4408364E-02
8.74,-.7068277E-02
8.75,-.6427470E-02
8.76,-.1822305E-02
8.77,.3995843E-02
8.78,.6970833E-02
8.79,.5915403E-02
8.8,.2245961E-02
8.81,-.2642235E-02
8.82,-.6692641E-02
8.83,-.7876334E-02
8.84,-.6668388E-02
8.85,-.4688031E-02
8.86,-.2857663E-02
8.87,-.1431936E-02
8.88,-.3965376E-03
8.89,-.4137785E-03
8.9,-.1866492E-02
8.91,-.3724774E-02
8.92,-.3974146E-02
8.93,-.2103673E-02
8.94,.6081738E-03
8.95,.2749919E-02
8.96,.2722373E-02
8.97,.4399665E-03
8.98,-.2219955E-02
8.99,-.3613459E-02
9,-.4361004E-02
9.01,-.5299069E-02
9.02,-.5248349E-02
9.03,-.3578510E-02
9.04,-.1107455E-02
9.05,.9581687E-03
9.06,.1825789E-02
9.07,.1659264E-02
9.08,.1138767E-02
9.09,.1109021E-02
9.1,.1602949E-02
9.11,.1662832E-02
9.12,.9319293E-03
9.13,-.1486543E-03
9.14,-.7562807E-03
9.15,-.5599524E-03
9.16,.6666031E-04
9.17,.5994909E-03
9.18,.8044645E-03
9.19,.7133174E-03
9.2,.4772638E-03
9.21,.1478484E-03
9.22,-.3319887E-03
9.23,-.7939581E-03
9.24,-.1022293E-02
9.25,-.1295394E-02
9.26,-.1149292E-02
9.27,.9614211E-04
9.28,.1753220E-02
9.29,.2023264E-02
9.3,.2770267E-03
9.31,-.1506852E-02
9.32,-.9834445E-03
